,a股市值(不含限售股),主营产品名称,"净资产收益率roe(加权,公布值)",城市,市净率(pb),市盈率(pe),归属于母公司所有者的净利润,总市值,总股本,所属同花顺行业,新股上市日期,流通a股,股票代码,股票简称,营业收入,资产负债率,销售毛利率
0,15233043935.69,电动自行车||磁材产品||稀土永磁||新能源||金属钕||混合动力车电机||风电||节能压缩机||钕铁硼磁材||新能源电机||磁性材料||高端钕铁硼||节能环保||家电||钕铁硼||新能源汽车电机||电动车||磁材||新能源汽车||稀土||金属||烧结钕铁硼||粘结钕铁硼||磁材产品销售||其他||粘结钕铁硼永磁材料,1.39,海淀区,2.3402,126.4796,-42053030.3,15233043935.69,1215725773.0,有色金属-金属新材料-磁性材料,20000420,1215725773.0,000970.SZ,中科三环,4849832269.48,29.3729,11.0061
1,53657390722.43,锌精矿||餐饮住宿||铅精矿(含银)||酒店||银矿||白银||金属||矿产勘查服务||锌锭产品||白银产品||铅锭产品||锡锭产品||合质金||合质金含银||铅锌精矿含银||铅精矿||锡锭贸易||白银贸易||镍贸易||合质金贸易||铅精矿贸易||铜贸易||锌锭贸易||铅锭贸易||铝贸易||合质金（含银）||含银铅精矿（银单独计价）||黄金贸易||钴贸易||铅锌铜精矿含银||铜精矿||铅精粉（含银）和锌精粉（含银）||合质金(含银)||铅精粉(含银)||锌精粉(含银),17.87,锡林郭勒盟,4.0869,17.9757,1727381567.52,58949813685.95,2776722265.0,有色金属-贵金属-贵金属Ⅲ,20000608,2527432441.0,000975.SZ,山金国际,14995814811.74,19.1615,28.3871
2,13331091296.38,电工材料||光学材料||阻隔材料||pet切片材料||pvc压延材料||商品房||商铺销售||物流服务||渗析材料||国资改革||特斯拉||广东国资改革||高端薄膜||动力锂电隔膜||化工新材料||硅酸盐||高端材料||塑料||隔膜||新能源||锂电池隔膜||锂电隔膜||新材料||电池||塑胶制品||微压拉伸透气膜||无孔透湿防水功能薄膜||粗化电工膜||耐高温电容器用薄膜||偏光膜||复合塑料编织材料||高阻隔尼龙薄膜||热收缩烟膜||抗病毒面料||染料系偏光片||碘系偏光片||3d眼镜偏光片||防雾片||防爆膜||粗化膜||金属化膜||包括bopa膜||bopp膜||bope膜||透气膜||压花膜||无孔防水透汽膜||贴合布||防水透汽膜延伸品||复合包装布||农用编织布||篷布||彩条布||广告布||辐照管材||新材料母料||功能母料||专用料||功能光切片||共聚改性母料||聚氨酯浇注胶||聚氨酯混炼胶||聚氨酯制品||pvc薄膜||pvc硬片||bopp合成纸||bopp光膜等||bopa膜||bopp光膜||光学薄膜||双向拉伸薄膜||渗析防护材料||塑编阻隔材料和其他新材料,2.91,佛山市,4.5827,119.1426,83231779.75,13331091296.38,967423171.0,基础化工-塑料制品-膜材料,20000525,967423171.0,000973.SZ,佛塑科技,1662117593.64,29.5774,21.8812
3,3069708644.42,小包装蕃茄制品||蕃茄酱||大桶原料酱||金融衍生品||租赁服务||材料销售||大桶番茄酱||番茄红素胶囊||农产品销售||其他||番茄红素,,自治区直辖县级行政区划,-17.9038,-15.9784,-43544332.71,3069708644.42,771283579.0,农林牧渔-农产品加工-果蔬加工,20000926,771283579.0,000972.SZ,*ST中基,354172619.51,113.4324,-6.9335
4,3155130485.0,景区旅游业务||酒店||公路旅行客运||出租车业务||福隆园地产||车辆检测||公路旅游客运||福隆园项目||桂林七星公园||桂林龙胜温泉||桂林丰鱼岩||漓江大瀑布饭店||福隆园地产项目||桂林出租汽车||出租汽车营运||游船客运||入境游||休闲度假||景区经营||旅游||景区业务||漓江游船客运||公路客运站场(琴潭站)||漓江旅游客运||一城游公司||文化旅游||景区旅游||客运服务||其他,3.28,桂林市,2.8483,66.16,6803067.15,3155196200.0,468130000.0,社会服务-旅游及酒店-自然景点,20000518,468120250.0,000978.SZ,桂林旅游,338768479.47,51.3673,33.0685
5,697568486.8,阴极板||机组设备||其他产品,-2.04,台州市,4.749,-172.4598,8740967.91,1677596000.0,101060000.0,机械设备-专用设备-其他专用设备,20200727,42022198.0,920475.BJ,三友科技,126515152.76,34.4343,17.6736
6,90567495790.89,it终端及散件||服务器及部件||大数据||云计算||智慧城市||tmt||网络安全||网络游戏||chatgpt||人工智能等各类创新||it产品和解决方案,7.24,济南市,4.3039,45.8836,1284864502.29,90668802163.98,1472135122.0,计算机-计算机设备-其他计算机设备,20000608,1470490271.0,000977.SZ,浪潮信息,120669018861.99,80.4189,4.9055
7,1915182668.28,低压水平硼扩散设备||低压水平磷扩散设备||低压水平氧化/退火设备||低压水平化学气相沉积镀膜设备（lpcvd）||等离子增强化学气相沉积镀膜设备（pecvd）||扩散/lpcvd/pecvd自动上下料设备||sic基半导体器件用超高温氧化炉||sic基半导体器件用超高温退火炉||半导体器件用lpcvd||真空钎焊炉||热场||涂层石英管||硼扩散||磷扩散||氧化及退火设备||低压化学气相沉积（lpcvd）设备||等离子体增强化学气相沉积（pecvd）设备||原子层沉积（ald）设备||原子层边缘钝化沉积（epd）设备||电池间隙贴膜机||激光设备,15.29,深圳市,4.241,21.745,576081156.64,17048019509.34,405326189.0,电力设备-光伏设备-光伏加工设备,20241029,45534538.0,688726.SH,拉普拉斯,4320812519.66,60.1746,31.2411
8,36558719340.99,cmos图像传感器||显示驱动芯片||cmos图像传感器-手机||cmos图像传感器-非手机,0.64,,4.8648,568.5536,8111352.0,38046582938.21,2600586667.0,电子-半导体-数字芯片设计,20210818,2498887173.0,688728.SH,格科微,5722579132.0,66.6615,20.6962
9,2472466149.65,光刻材料||soc（碳膜涂层）||barc（底部抗反射涂层）||光刻胶||其他光刻材料||前驱体材料,4.79,厦门市,13.9371,224.381,70052880.37,22111017516.0,449319600.0,电子-半导体-半导体材料,20251118,50243165.0,688727.SH,恒坤新材,485504181.18,47.0346,43.6016
10,3850127336.0,uhmwpe纤维||无纬布||防弹制品||复合材料,6.98,大兴区,2.7307,31.1176,81498766.65,3859773906.0,224666700.0,基础化工-化学纤维-其他纤维,20211019,224105200.0,688722.SH,同益中,718579324.88,26.5934,30.6051
11,1558724694.8,精密直线导轨滑块||高速列车减震器主件||伺服电机主轴||汽车安全带装置转轴||汽车发动机涨紧支臂||高速列车高压连接器||自动化工厂柔性生产线配件||真空泵主轴||高端家电电路板核心散热部件||产业机器人精密配件||精密工业工具零件,-2.19,青岛市,7.6298,-261.0165,21970450.72,3057951221.4,184213929.0,机械设备-通用设备-金属制品,20201228,93899078.0,920510.BJ,丰光精密,156737462.83,26.2173,27.0096
12,1514739340.8,石英掩模版||苏打掩模版||功率半导体||ic封装||mems传感器||其他半导体,4.31,深圳市,4.7102,82.2823,71568858.96,5681760000.0,133500000.0,电子-半导体-半导体材料,20240806,35590680.0,688721.SH,龙图光罩,183254013.38,13.8118,48.6276
13,42442009677.6,投资银行业务||资产管理业务||自营业务||另类投资业务||信用交易业务||期货业务||直接投资业务||证券经纪业务||证券经纪||信用业务||融资融券业务||股票质押业务||权益类投资业务||固定收益类投资业务||股权融资业务||债券融资业务||财务顾问业务||证券公司资产管理业务||公募基金管理业务||私募基金管理业务||海外业务||金融产品代销||投资顾问||股票质押||权益类投资||固定收益类投资||基金投资||衍生品||股权业务||债券发行||并购重组||单一资产管理||集合资产管理||专项资产管理||公募基金管理||私募基金管理||境外业务||金融产品||金融债权||场外衍生品业务||券商资产管理业务||期货经纪业务||基差贸易业务,5.49,西城区,1.4342,19.9094,942923031.93,42442009677.6,3232445520.0,非银金融-证券-证券Ⅲ,20150226,3232445520.0,601198.SH,东兴证券,3610165346.64,74.5343,
14,8616428912.0,吸尘器水机||吸尘器干机||吸尘器配件||加湿器||卷发梳||吹风机||吸尘器||小家电||eps||电机||eps电机||汽车电机,5.27,宁波市,2.8547,39.9014,301567266.86,8616428912.0,484069040.0,家用电器-小家电-小家电Ⅲ,20211021,484069040.0,605555.SH,德昌股份,3288050831.32,42.424,14.0486
